starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 07 19:56:59 2022	1654606619	0	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	1	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	1
Tue Jun 07 19:56:59 2022	1654606619	1	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	1	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	1	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	1	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	1	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	1	2	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	1	1	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	1	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	1	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	1	2	2	1
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
Tue Jun 07 19:56:59 2022	1654606619	0	2	2	2
