starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 07 19:56:41 2022	1654606601	1	7	8	7
Tue Jun 07 19:56:41 2022	1654606601	3	6	8	6
Tue Jun 07 19:56:41 2022	1654606601	0	8	8	8
Tue Jun 07 19:56:41 2022	1654606601	0	8	8	8
Tue Jun 07 19:56:41 2022	1654606601	0	8	8	8
Tue Jun 07 19:56:41 2022	1654606601	0	8	8	8
Tue Jun 07 19:56:41 2022	1654606601	3	5	8	5
Tue Jun 07 19:56:41 2022	1654606601	0	8	9	8
Tue Jun 07 19:56:41 2022	1654606601	0	9	9	9
Tue Jun 07 19:56:41 2022	1654606601	3	6	9	5
Tue Jun 07 19:56:41 2022	1654606601	3	6	9	5
Tue Jun 07 19:56:41 2022	1654606601	0	9	9	9
Tue Jun 07 19:56:41 2022	1654606601	0	9	9	9
Tue Jun 07 19:56:41 2022	1654606601	0	9	9	9
Tue Jun 07 19:56:41 2022	1654606601	0	9	9	9
Tue Jun 07 19:56:41 2022	1654606601	0	9	9	9
Tue Jun 07 19:56:41 2022	1654606601	0	9	9	9
Tue Jun 07 19:56:41 2022	1654606601	0	9	9	9
Tue Jun 07 19:56:41 2022	1654606601	0	9	9	8
Tue Jun 07 19:56:41 2022	1654606601	0	9	9	9
Tue Jun 07 19:56:41 2022	1654606601	0	9	9	9
Tue Jun 07 19:56:41 2022	1654606601	0	9	9	9
Tue Jun 07 19:56:42 2022	1654606602	1	8	9	8
Tue Jun 07 19:56:41 2022	1654606601	0	9	9	9
Tue Jun 07 19:56:42 2022	1654606602	0	9	9	9
Tue Jun 07 19:56:41 2022	1654606601	0	9	9	8
Tue Jun 07 19:56:41 2022	1654606601	3	6	9	6
Tue Jun 07 19:56:41 2022	1654606601	1	9	9	9
Tue Jun 07 19:56:41 2022	1654606601	1	9	9	9
Tue Jun 07 19:56:41 2022	1654606601	0	9	9	9
Tue Jun 07 19:56:42 2022	1654606602	0	9	9	9
Tue Jun 07 19:56:41 2022	1654606601	0	9	9	9
Tue Jun 07 19:56:41 2022	1654606601	0	9	10	9
Tue Jun 07 19:56:42 2022	1654606602	1	9	10	8
Tue Jun 07 19:56:41 2022	1654606601	0	9	10	9
Tue Jun 07 19:56:42 2022	1654606602	0	9	10	9
Tue Jun 07 19:56:41 2022	1654606601	0	9	10	9
Tue Jun 07 19:56:42 2022	1654606602	0	9	10	9
Tue Jun 07 19:56:41 2022	1654606601	0	10	10	9
Tue Jun 07 19:56:41 2022	1654606601	0	10	10	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	10	10
Tue Jun 07 19:56:41 2022	1654606601	0	10	10	9
Tue Jun 07 19:56:41 2022	1654606601	0	10	10	10
Tue Jun 07 19:56:41 2022	1654606601	0	10	10	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	10	10
Tue Jun 07 19:56:41 2022	1654606601	0	10	10	10
Tue Jun 07 19:56:41 2022	1654606601	0	10	10	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	10	10
Tue Jun 07 19:56:41 2022	1654606601	0	10	10	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	10	10
Tue Jun 07 19:56:41 2022	1654606601	0	10	10	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	10	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	10	10
Tue Jun 07 19:56:41 2022	1654606601	0	10	10	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	10	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	10	10
Tue Jun 07 19:56:41 2022	1654606601	0	10	10	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	10	10
Tue Jun 07 19:56:41 2022	1654606601	0	10	10	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	10	10
Tue Jun 07 19:56:41 2022	1654606601	0	10	10	10
Tue Jun 07 19:56:41 2022	1654606601	0	10	10	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	10	10
